date,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,switch_komu,price_action,previous_price_action,predicted_trend
2024-09-07,53949.086,54838.145,53740.07,54139.688,19061486526.0,56247.793,58797.56,57522.677,59554.389,54139.688,0,59381.708,59888.387,Neutral
2024-09-08,54147.934,55300.859,53653.758,54841.566,18268287531.0,56206.879,58797.56,57502.22,59554.389,54841.566,0,59381.708,59888.387,Neutral
2024-09-09,54851.887,58041.125,54598.434,57019.535,34618096173.0,56206.879,58797.56,57502.22,59554.389,57019.535,0,59381.708,59888.387,Neutral
2024-09-10,57020.098,58029.977,56419.414,57648.711,28857630507.0,56206.879,58797.56,57502.22,59554.389,57648.711,0,59381.708,59888.387,Neutral
2024-09-11,57650.289,57991.32,55567.34,57343.172,37049062672.0,56206.879,58797.56,57502.22,59554.389,57343.172,0,59381.708,59888.387,Neutral
2024-09-12,57343.172,58534.359,57330.102,58127.012,33835707949.0,55566.529,58797.56,57182.045,59554.389,58127.012,0,59381.708,59888.387,Neutral
2024-09-13,58130.324,60648.023,57650.113,60571.301,32490528356.0,56623.361,58797.56,57710.461,59554.389,60571.301,0,59381.708,59888.387,Neutral
2024-09-14,60569.117,60656.723,59517.883,60005.121,16428405496.0,56627.711,58797.56,57712.636,59554.389,60005.121,0,59381.708,59888.387,Neutral
2024-09-15,60000.727,60381.918,58696.309,59182.836,18120960867.0,57155.24,58797.56,57976.401,59554.389,59182.836,0,59381.708,59888.387,Neutral
2024-09-16,59185.227,59205.512,57501.34,58192.508,32032822113.0,57155.24,58797.56,57976.401,59554.389,58192.508,0,59381.708,59888.387,Neutral
2024-09-17,58192.508,61316.09,57628.07,60308.539,38075570118.0,57957.262,58797.56,58377.411,59554.389,60308.539,0,59381.708,59888.387,Neutral
2024-09-18,60309.0,61664.066,59218.254,61649.68,40990702891.0,58615.703,58797.56,58706.632,59554.389,61649.68,0,59381.708,59888.387,Neutral
2024-09-19,61651.156,63872.441,61609.867,62940.457,42710252573.0,59719.89,58797.56,59258.726,58054.455,62940.457,1,59258.726,59381.708,Neutral
2024-09-20,62941.426,64119.531,62364.605,63192.977,35177164222.0,60724.817,58544.203,59634.51,57965.724,63192.977,0,59258.726,59381.708,Neutral
2024-09-21,63184.34,63543.359,62783.105,63394.84,14408616220.0,60810.435,58359.115,59584.775,57357.24,63394.84,0,59258.726,59381.708,Neutral
2024-09-22,63396.805,63993.422,62440.727,63648.711,20183348802.0,60810.435,58359.115,59584.775,57322.23,63648.711,0,59258.726,59381.708,Neutral
2024-09-23,63643.102,64733.559,62628.078,63329.801,31400285425.0,61117.45,58666.129,59891.789,57058.83,63329.801,0,59258.726,59381.708,Neutral
2024-09-24,63326.84,64695.215,62737.418,64301.969,29938335243.0,61117.45,58666.129,59891.789,57058.83,64301.969,0,59258.726,59381.708,Neutral
2024-09-25,64302.59,64804.504,62945.375,63143.145,25078377700.0,61216.287,58701.602,59958.944,57058.83,63143.145,0,59258.726,59381.708,Neutral
2024-09-26,63138.547,65790.797,62669.27,65181.02,36873129847.0,62504.526,59194.748,60849.637,59194.748,65181.02,0,59258.726,59381.708,Neutral
2024-09-27,65180.664,66480.695,64852.992,65790.664,32058813449.0,64045.281,59539.697,61792.489,59539.697,65790.664,0,59258.726,59381.708,Bullish
2024-09-28,65792.18,66255.531,65458.035,65887.648,15243637984.0,64422.65,59539.697,61981.174,59539.697,65887.648,0,59258.726,59381.708,Bullish
2024-09-29,65888.898,66069.344,65450.016,65635.305,14788214575.0,64460.711,59539.697,62000.204,59539.697,65635.305,0,59258.726,59381.708,Bullish
2024-09-30,65634.656,65635.055,62873.617,63329.5,37112957475.0,64460.711,59539.697,62000.204,59539.697,63329.5,0,59258.726,59381.708,Bullish
2024-10-01,63335.605,64110.98,60189.277,60837.008,50220923500.0,63334.986,59539.697,61437.342,59539.697,60837.008,0,59258.726,59381.708,Bullish
2024-10-02,60836.324,62357.688,59996.949,60632.785,40762722398.0,63238.822,60067.227,61653.024,59539.697,60632.785,0,59258.726,59381.708,Bullish
2024-10-03,60632.484,61469.039,59878.805,60759.402,36106447279.0,63179.75,60067.227,61623.488,59539.697,60759.402,0,59258.726,59381.708,Bullish
2024-10-04,60754.625,62465.992,60459.941,62067.477,29585472513.0,63179.75,60539.565,61859.657,59539.697,62067.477,0,59258.726,59381.708,Bullish
2024-10-05,62067.609,62371.023,61689.582,62089.949,13305410749.0,63179.75,61024.018,62101.884,59539.697,62089.949,0,59258.726,59381.708,Bullish
2024-10-06,62084.988,62959.57,61833.148,62818.953,14776233667.0,63067.168,61024.018,62045.593,59539.697,62818.953,0,59258.726,59381.708,Bullish
2024-10-07,62819.109,64443.707,62152.551,62236.66,34253562610.0,62974.075,61905.399,62439.736,59539.697,62236.66,0,59258.726,59381.708,Bullish
2024-10-08,62221.645,63174.305,61843.562,62131.969,28134475157.0,62756.93,61991.018,62373.974,59539.697,62131.969,0,59258.726,59381.708,Bullish
2024-10-09,62131.727,62508.836,60314.613,60582.102,27670982363.0,62161.256,61991.018,62076.137,59539.697,60582.102,0,59258.726,59381.708,Bullish
2024-10-10,60581.93,61236.723,58895.207,60274.5,30452813570.0,61669.457,61991.018,61830.237,59539.697,60274.5,0,59258.726,59381.708,Bullish
2024-10-11,60275.461,63400.871,60046.125,62445.09,30327141594.0,61669.457,61991.018,61830.237,59539.697,62445.09,0,59258.726,59381.708,Bullish
2024-10-12,62444.617,63448.785,62443.27,63193.023,16744110886.0,61669.457,62054.383,61861.92,59539.697,63193.023,0,59258.726,59381.708,Bullish
2024-10-13,63192.945,63272.652,62035.637,62851.375,18177529690.0,61669.457,62687.951,62178.704,59539.697,62851.375,0,59258.726,59381.708,Bullish
2024-10-14,62848.398,66482.492,62442.152,66046.125,43706958056.0,62688.849,62688.849,62688.849,59540.595,66046.125,0,59258.726,59381.708,Bullish
2024-10-15,66050.367,67881.68,64809.195,67041.109,48863870879.0,63388.443,63388.443,63388.443,60240.189,67041.109,0,59258.726,59381.708,Bullish
2024-10-16,67042.461,68375.289,66758.727,67612.719,38195189534.0,63635.248,63635.248,63635.248,60486.994,67612.719,0,59258.726,59381.708,Bullish
2024-10-17,67617.078,67912.211,66647.391,67399.836,32790898511.0,63635.248,63635.248,63635.248,60486.994,67399.836,0,59258.726,59381.708,Bullish
2024-10-18,67419.109,68969.75,67177.82,68418.789,36857165014.0,63932.478,63932.478,63932.478,60784.224,68418.789,0,59258.726,59381.708,Bullish
2024-10-19,68418.977,68668.008,68024.641,68362.734,14443497908.0,64507.938,63932.478,64220.208,60784.224,68362.734,0,59258.726,59381.708,Bullish
2024-10-20,68364.18,69359.008,68105.719,69001.703,18975847518.0,65697.323,64127.107,64912.215,60978.853,69001.703,0,59258.726,59381.708,Bullish
2024-10-21,69002.0,69462.734,66829.852,67367.852,37498611780.0,65749.185,64178.97,64964.078,61030.716,67367.852,0,59258.726,59381.708,Bullish
2024-10-22,67360.703,67801.578,66581.367,67361.406,31808472566.0,65952.443,64178.97,65065.707,61030.716,67361.406,0,59258.726,59381.708,Bullish
2024-10-23,67362.375,67402.742,65188.035,66432.195,32263980353.0,67135.965,64178.97,65657.467,61030.716,66432.195,0,59258.726,59381.708,Bullish
2024-10-24,66653.703,68798.961,66454.102,68161.055,31414428647.0,67325.385,64178.97,65752.177,61030.716,68161.055,0,59258.726,59381.708,Bullish
2024-10-25,68165.297,68722.156,65521.793,66642.414,41469984306.0,67325.385,64178.97,65752.177,61030.716,66642.414,0,59258.726,59381.708,Bullish
2024-10-26,66628.734,67317.922,66360.594,67014.695,19588098156.0,67325.385,64178.97,65752.177,61030.716,67014.695,0,59258.726,59381.708,Bullish
2024-10-27,67023.477,68221.312,66847.227,67929.297,16721307878.0,67325.385,64178.97,65752.177,61030.716,67929.297,0,59258.726,59381.708,Bullish
2024-10-28,67922.672,70212.266,67535.133,69907.758,38799856657.0,67700.151,64553.736,66126.943,61933.012,69907.758,0,59258.726,59381.708,Bullish
2024-10-29,69910.047,73577.211,69729.914,72720.492,58541874402.0,69382.623,66236.209,67809.416,63615.484,72720.492,0,59258.726,59381.708,Bullish
2024-10-30,72715.367,72905.297,71411.734,72339.539,40646637831.0,69382.623,66236.209,67809.416,64087.822,72339.539,0,59258.726,59381.708,Bullish
2024-10-31,72335.047,72662.312,69590.5,70215.188,40627912076.0,69382.623,66236.209,67809.416,64572.275,70215.188,0,59258.726,59381.708,Bullish
2024-11-01,70216.898,71559.016,68779.703,69482.469,49989795365.0,69549.502,66236.209,67892.856,64572.275,69482.469,0,59258.726,59381.708,Bullish
2024-11-02,69486.023,69867.352,69033.719,69289.273,18184612091.0,69549.502,66236.209,67892.856,65453.656,69289.273,0,59258.726,59381.708,Bullish
2024-11-03,69296.383,69361.656,67482.523,68741.117,34868307655.0,69968.902,66236.209,68102.556,65539.275,68741.117,0,59258.726,59381.708,Bullish
2024-11-04,68742.133,69433.18,66803.648,67811.508,41184819348.0,70190.429,66236.209,68213.319,65539.275,67811.508,0,59258.726,59381.708,Bullish
2024-11-05,67811.172,70522.789,67458.867,69359.562,46046889204.0,70190.429,66811.668,68501.049,65539.275,69359.562,0,59258.726,59381.708,Bullish
2024-11-06,69358.5,76460.156,69322.031,75639.078,118592653963.0,71631.902,69247.897,70439.899,66980.748,75639.078,0,59258.726,59381.708,Bullish
2024-11-07,75637.086,76943.117,74480.422,75904.859,63467654989.0,71873.383,69489.377,70681.38,67285.594,75904.859,0,59258.726,59381.708,Bullish
2024-11-08,75902.836,77252.75,75648.742,76545.477,55176858003.0,72028.199,69847.451,70937.825,68073.978,76545.477,0,59258.726,59381.708,Bullish
2024-11-09,76556.188,76932.766,75773.789,76778.867,29009480361.0,72028.199,71030.973,71529.586,68073.978,76778.867,0,59258.726,59381.708,Bullish
2024-11-10,76775.547,81474.422,76565.43,80474.188,82570594495.0,74139.035,73331.228,73735.132,70184.815,80474.188,0,59258.726,59381.708,Bullish
2024-11-11,80471.414,89604.5,80283.25,88701.484,117966845037.0,78204.074,77396.268,77800.171,74249.853,88701.484,0,59258.726,59381.708,Bullish
2024-11-12,88705.562,89956.883,85155.109,87955.812,133673285375.0,78380.266,77572.459,77976.362,74426.045,87955.812,0,59258.726,59381.708,Bullish
2024-11-13,87929.969,93434.352,86256.93,90584.164,123559027869.0,80446.609,79311.193,79878.901,76164.78,90584.164,0,59258.726,59381.708,Bullish
2024-11-14,90574.883,91765.219,86682.812,87250.43,87616705248.0,81378.192,79311.193,80344.693,76164.78,87250.43,0,59258.726,59381.708,Bullish
2024-11-15,87284.18,91868.742,87124.898,91066.008,78243109518.0,83957.387,79311.193,81634.29,76164.78,91066.008,0,59258.726,59381.708,Bullish
2024-11-16,91064.367,91763.945,90094.227,90558.477,44333192814.0,84541.547,79311.193,81926.37,76164.78,90558.477,0,59258.726,59381.708,Bullish
2024-11-17,90558.461,91433.039,88741.664,89845.852,46350159305.0,84604.071,79311.193,81957.632,76164.78,89845.852,0,59258.726,59381.708,Bullish
2024-11-18,89843.719,92596.789,89393.594,90542.641,75535775084.0,84999.891,79478.072,82238.982,76164.78,90542.641,0,59258.726,59381.708,Bullish
2024-11-19,90536.812,94002.867,90426.984,92343.789,74521048295.0,87143.058,79762.33,83452.694,76449.037,92343.789,0,59258.726,59381.708,Bullish
2024-11-20,92341.891,94902.023,91619.5,94339.492,71730956426.0,90028.566,80631.308,85329.937,76898.615,94339.492,0,59258.726,59381.708,Bullish
2024-11-21,94334.641,99014.219,94132.602,98504.727,106024505582.0,92635.574,82908.933,87772.254,78954.713,98504.727,0,59258.726,59381.708,Bullish
2024-11-22,98496.43,99655.5,97222.664,98997.664,78473580551.0,93169.156,83229.574,88199.365,79275.353,98997.664,0,59258.726,59381.708,Bullish
2024-11-23,99006.742,99014.68,97232.891,97777.281,44414644677.0,93390.199,83229.574,88309.886,79275.353,97777.281,0,59258.726,59381.708,Bullish
2024-11-24,97778.094,98647.18,95788.078,98013.82,51712020623.0,94198.582,83229.574,88714.078,79275.353,98013.82,0,59258.726,59381.708,Bullish
2024-11-25,98033.445,98935.031,92642.914,93102.297,80909462490.0,94198.582,83229.574,88714.078,79275.353,93102.297,0,59258.726,59381.708,Bullish
2024-11-26,93087.281,94991.75,90770.812,91985.32,91656519855.0,94524.547,83229.574,88877.06,79275.353,91985.32,0,59258.726,59381.708,Bullish
2024-11-27,91978.141,97361.18,91778.664,95962.531,71133452438.0,95041.242,83229.574,89135.408,79275.353,95962.531,0,59258.726,59381.708,Bullish
2024-11-28,95954.945,96650.203,94677.352,95652.469,52260008261.0,95213.156,83229.574,89221.365,79275.353,95652.469,0,59258.726,59381.708,Bullish
2024-11-29,95653.953,98693.172,95407.883,97461.523,54968682476.0,95213.156,83229.574,89221.365,79275.353,97461.523,0,59258.726,59381.708,Bullish
2024-11-30,97468.812,97499.344,96144.219,96449.055,31634227866.0,95213.156,83557.183,89385.17,79275.353,96449.055,0,59258.726,59381.708,Bullish
2024-12-01,96461.336,97888.125,95770.188,97279.789,36590695296.0,94892.746,84488.766,89690.756,79850.812,97279.789,0,59258.726,59381.708,Bullish
2024-12-02,97276.008,98152.602,94482.867,95865.305,72680784305.0,94852.921,87067.961,90960.441,80845.568,95865.305,0,59258.726,59381.708,Bullish
2024-12-03,95854.594,96297.203,93629.562,96002.164,67067810961.0,94852.921,87652.121,91252.521,80845.568,96002.164,0,59258.726,59381.708,Bullish
2024-12-04,95988.531,99207.328,94660.523,98768.531,77199817112.0,94989.07,87714.644,91351.857,81048.826,98768.531,0,59258.726,59381.708,Bullish
2024-12-05,98741.539,103900.469,91998.781,96593.57,149218945580.0,97839.567,90232.949,94036.258,84354.832,96593.57,0,59258.726,59381.708,Bullish
2024-12-06,97074.227,102039.883,96514.875,99920.711,94534772658.0,97949.625,92091.859,95020.742,84544.252,99920.711,0,59258.726,59381.708,Bullish
2024-12-07,99916.711,100563.383,99030.883,99923.336,44177510897.0,97949.625,94527.789,96238.707,84544.252,99923.336,0,59258.726,59381.708,Bullish
2024-12-08,99921.914,101399.992,98771.516,101236.016,44125751925.0,97949.625,95078.699,96514.162,84544.252,101236.016,0,59258.726,59381.708,Bullish
2024-12-09,101237.062,101272.508,94355.914,97432.719,110676473908.0,97949.625,95291.641,96620.633,84544.252,97432.719,0,59258.726,59381.708,Bullish
2024-12-10,97441.234,98270.156,94321.258,96675.43,104823780634.0,97949.625,95512.683,96731.154,84544.252,96675.43,0,59258.726,59381.708,Bullish
